,id,age,sex,dataset,cp,trestbps,chol,fbs,restecg,thalch,exang,oldpeak,slope,ca,thal,num
count,920.0,920.0,920,920,920,861.0,890.0,830,918,865.0,865,858.0,611,309.0,434,920.0
unique,,,2,4,4,,,2,3,,2,,3,,3,
top,,,Male,Cleveland,asymptomatic,,,False,normal,,False,,flat,,normal,
freq,,,726,304,496,,,692,551,,528,,345,,196,
mean,460.5,53.51086956521739,,,,132.13240418118468,199.13033707865168,,,137.5456647398844,,0.8787878787878788,,0.6763754045307443,,0.9956521739130435
std,265.72542219366215,9.424685209576857,,,,19.066069518587476,110.7808103532305,,,25.926276492797594,,1.0912262483465298,,0.935653012559987,,1.142693403338037
min,1.0,28.0,,,,0.0,0.0,,,60.0,,-2.6,,0.0,,0.0
25%,230.75,47.0,,,,120.0,175.0,,,120.0,,0.0,,0.0,,0.0
50%,460.5,54.0,,,,130.0,223.0,,,140.0,,0.5,,0.0,,1.0
75%,690.25,60.0,,,,140.0,268.0,,,157.0,,1.5,,1.0,,2.0
max,920.0,77.0,,,,200.0,603.0,,,202.0,,6.2,,3.0,,4.0
